年份,縣市,總計人口,65歲以上人口,高齡化比例
2023,花蓮縣,317489,62820,19.79
2023,澎湖縣,107739,20433,18.97
2023,基隆市,362255,73338,20.24
2023,新竹市,456475,67394,14.76
2023,嘉義市,263584,48428,18.37
2023,金門縣,144149,24918,17.29
2023,連江縣,14039,2090,14.89
2024,新北市,4047112,765164,18.91
2024,臺北市,2493210,572988,22.98
2024,桃園市,2336764,369406,15.81
2024,臺中市,2858958,472044,16.51
2024,臺南市,1858873,363102,19.53
2024,高雄市,2731891,542758,19.87
2024,宜蘭縣,449254,89333,19.88
2024,新竹縣,594181,85740,14.43
2024,苗栗縣,533063,103852,19.48
2024,彰化縣,1226560,238152,19.42
2024,南投縣,472727,102410,21.66
2024,雲林縣,658831,138786,21.07
2024,嘉義縣,479129,110893,23.14
2024,屏東縣,789706,165069,20.9
2024,臺東縣,210272,42183,20.06
2024,花蓮縣,315581,64890,20.56
2024,澎湖縣,107908,21367,19.8
2024,基隆市,361497,76575,21.18
2024,新竹市,457328,70173,15.34
2024,嘉義市,262365,49951,19.04
2024,金門縣,143658,26063,18.14
2024,連江縣,13927,2217,15.92
