Unnamed: 0,計,男,女,計.1,男.1,女.1,％,計.2,男.2,女.2,％.1,計.3,男.3,女.3,％.2,計.4,男.4,女.4,％.3,計.5,男.5,女.5,％.4,計.6,男.6,女.6,％.5,計.7,男.7,女.7,％.6
總    計,23402795.0,11528561.0,11874234.0,738669.0,382088.0,356581.0,3.15632812234607,1103219.0,570661.0,532558.0,4.71404804426138,2143693.0,1109459.0,1034234.0,9.15998708701247,2377060.0,1230050.0,1147010.0,10.15716285170211,1203003.0,625557.0,577446.0,5.14042446639386,19640330.0,9576903.0,10063427.0,83.92301005072257,4473116.0,2017849.0,2455267.0,19.11359732886606
新北市,4047112.0,1965683.0,2081429.0,115034.0,59241.0,55793.0,2.84237253626784,174515.0,89880.0,84635.0,4.31208723652817,346341.0,178626.0,167715.0,8.55773203212562,384762.0,198431.0,186331.0,9.50707566284303,200513.0,104146.0,96367.0,4.95447123776164,3431028.0,1646832.0,1784196.0,84.77719420663426,765164.0,337796.0,427368.0,18.90642018308364
臺北市,2493210.0,1175842.0,1317368.0,78788.0,40501.0,38287.0,3.16010283931157,117811.0,60606.0,57205.0,4.72527384375965,235605.0,121367.0,114238.0,9.44986583560951,261738.0,134836.0,126902.0,10.49803265669559,129043.0,66807.0,62236.0,5.1757774114495,2090784.0,968009.0,1122775.0,83.85912137365084,572988.0,250292.0,322696.0,22.98193894617782
桃園市,2336764.0,1150938.0,1185826.0,89370.0,46126.0,43244.0,3.8245197204339,131715.0,68190.0,63525.0,5.63664109854482,248414.0,128750.0,119664.0,10.63068414268621,274150.0,142062.0,132088.0,11.73203626895998,132099.0,68756.0,63343.0,5.65307408022376,1911437.0,929909.0,981528.0,81.79846146209032,369406.0,166257.0,203149.0,15.80844278669134
臺中市,2858958.0,1396004.0,1462954.0,99411.0,51528.0,47883.0,3.47717595011889,149871.0,77588.0,72283.0,5.24215465914505,292153.0,151488.0,140665.0,10.21886295636382,323840.0,167794.0,156046.0,11.32720382740845,160299.0,83053.0,77246.0,5.60690293456567,2352996.0,1133683.0,1219313.0,82.30257317526176,472044.0,212234.0,259810.0,16.51105052959855
臺南市,1858873.0,921802.0,937071.0,53734.0,28047.0,25687.0,2.89067623231926,81928.0,42580.0,39348.0,4.40740168908796,162561.0,84269.0,78292.0,8.74513751073903,181034.0,93831.0,87203.0,9.73891169541975,92531.0,48078.0,44453.0,4.9778010654843,1572380.0,773070.0,799310.0,84.587812077533,363102.0,166623.0,196479.0,19.53344849271575
高雄市,2731891.0,1337699.0,1394192.0,83068.0,42957.0,40111.0,3.04067768443177,122807.0,63479.0,59328.0,4.49531112332081,235711.0,121940.0,113771.0,8.62812608555759,261118.0,135072.0,126046.0,9.55814122891433,131717.0,68340.0,63377.0,4.82145883565633,2317617.0,1123168.0,1194449.0,84.83563216834054,542758.0,241987.0,300771.0,19.86748373196442
臺灣省,6918402.0,3501307.0,3417095.0,215351.0,111612.0,103739.0,3.11272747666296,318973.0,165406.0,153567.0,4.61050109548419,612914.0,317799.0,295115.0,8.85918453423204,679429.0,352289.0,327140.0,9.82060597230401,351035.0,183353.0,167682.0,5.07393181257753,5825432.0,2932844.0,2892588.0,84.20198768443927,1359374.0,628867.0,730507.0,19.64867031432981
宜蘭縣,449254.0,225195.0,224059.0,13563.0,6989.0,6574.0,3.01900483913332,20278.0,10418.0,9860.0,4.51370494197047,39078.0,20190.0,18888.0,8.69842004745645,43231.0,22348.0,20883.0,9.62284142155662,22186.0,11473.0,10713.0,4.93840900693149,379967.0,189389.0,190578.0,84.57732151522302,89333.0,41190.0,48143.0,19.88474226161592
新竹縣,594181.0,302413.0,291768.0,24763.0,12765.0,11998.0,4.16758529808257,36852.0,19103.0,17749.0,6.20215052315709,70833.0,36673.0,34160.0,11.92111494645571,78337.0,40474.0,37863.0,13.18402978217075,37874.0,19715.0,18159.0,6.37415198399141,473263.0,239601.0,233662.0,79.64963538046487,85740.0,40825.0,44915.0,14.42994643046479
苗栗縣,533063.0,273953.0,259110.0,14185.0,7312.0,6873.0,2.66103631278104,22295.0,11509.0,10786.0,4.18243247045846,46498.0,24006.0,22492.0,8.72279636740873,51973.0,26819.0,25154.0,9.74987947015644,28178.0,14699.0,13479.0,5.28605436880819,448332.0,229989.0,218343.0,84.10488066138524,103852.0,49307.0,54545.0,19.48212500211045
彰化縣,1226560.0,621707.0,604853.0,41854.0,21728.0,20126.0,3.41230759196452,60234.0,31304.0,28930.0,4.91080746151839,112349.0,58477.0,53872.0,9.1596823636838,124113.0,64589.0,59524.0,10.11878750326115,62970.0,33017.0,29953.0,5.133870336551,1027707.0,517883.0,509824.0,83.78774784763893,238152.0,110395.0,127757.0,19.41625358726846
南投縣,472727.0,240440.0,232287.0,12784.0,6691.0,6093.0,2.70430925248611,19091.0,9987.0,9104.0,4.03848309912487,37022.0,19298.0,17724.0,7.83158144129698,41144.0,21456.0,19688.0,8.70354348281355,22167.0,11498.0,10669.0,4.6891757822168,405006.0,205225.0,199781.0,85.67439558138207,102410.0,48089.0,54321.0,21.66366634442289
雲林縣,658831.0,338827.0,320004.0,20537.0,10691.0,9846.0,3.11718786760186,29391.0,15329.0,14062.0,4.46108334307281,54221.0,28063.0,26158.0,8.22987989332621,60153.0,31144.0,29009.0,9.13026254077297,32182.0,16793.0,15389.0,4.88471246799255,560054.0,287511.0,272543.0,85.00723250727424,138786.0,64643.0,74143.0,21.06549327521018
