Unnamed: 0,計,男,女,計.1,男.1,女.1,％,計.2,男.2,女.2,％.1,計.3,男.3,女.3,％.2,計.4,男.4,女.4,％.3,計.5,男.5,女.5,％.4,計.6,男.6,女.6,％.5,計.7,男.7,女.7,％.6
總    計,23264640.0,11499136.0,11765504.0,811733.0,420168.0,391565.0,3.48912770625292,1214244.0,628704.0,585540.0,5.21926838326318,2264207.0,1172674.0,1091533.0,9.73239646089516,2430535.0,1259431.0,1171104.0,10.44733552722071,1167966.0,609523.0,558443.0,5.02034847734588,19391070.0,9485682.0,9905388.0,83.349968020137,4085793.0,1851729.0,2234064.0,17.56224467690022
新北市,3995551.0,1946890.0,2048661.0,131437.0,67812.0,63625.0,3.28958383962562,197236.0,101692.0,95544.0,4.936390500334,370670.0,191291.0,179379.0,9.27706841934942,397541.0,205348.0,192193.0,9.94959143307143,190878.0,99603.0,91275.0,4.77726351134049,3361303.0,1617698.0,1743605.0,84.12614430400212,681360.0,303687.0,377673.0,17.05296716272674
臺北市,2480681.0,1177022.0,1303659.0,87542.0,45147.0,42395.0,3.52895031646552,132752.0,68504.0,64248.0,5.35143373936431,251297.0,129822.0,121475.0,10.13016183862415,270666.0,139903.0,130763.0,10.91095549971963,121014.0,63017.0,57997.0,4.87825722049711,2068799.0,963571.0,1105228.0,83.39641412982968,518594.0,228423.0,290171.0,20.90530785699572
桃園市,2281464.0,1126870.0,1154594.0,97873.0,50668.0,47205.0,4.28992085783514,143652.0,74369.0,69283.0,6.29648331071628,259772.0,134601.0,125171.0,11.38619763450136,277515.0,143826.0,133689.0,12.16390002209108,126158.0,66048.0,60110.0,5.52969496779261,1848622.0,901571.0,947051.0,81.02788385001911,325745.0,147500.0,178245.0,14.27789349295014
臺中市,2814459.0,1378315.0,1436144.0,108541.0,56148.0,52393.0,3.85654934038833,164653.0,85290.0,79363.0,5.85025399197501,306517.0,158787.0,147730.0,10.8907964194895,328677.0,170371.0,158306.0,11.67815910624386,153374.0,79785.0,73589.0,5.44950201797219,2298296.0,1110603.0,1187693.0,81.66031198180539,424290.0,192040.0,232250.0,15.07536617161593
臺南市,1852997.0,921168.0,931829.0,58034.0,30184.0,27850.0,3.13189929611327,88846.0,46239.0,42607.0,4.79471904163903,170581.0,88440.0,82141.0,9.20568139074159,183150.0,95075.0,88075.0,9.88398793953795,89669.0,46688.0,42981.0,4.83913357657891,1559852.0,768885.0,790967.0,84.17995280078705,334145.0,153487.0,180658.0,18.03267895198967
高雄市,2728137.0,1341492.0,1386645.0,90806.0,46950.0,43856.0,3.3284985321485,134505.0,69646.0,64859.0,4.93028759186214,248643.0,128912.0,119731.0,9.11402176650219,266208.0,137942.0,128266.0,9.75786773171582,129573.0,67281.0,62292.0,4.74950488190292,2300547.0,1119597.0,1180950.0,84.32666687926597,499975.0,224485.0,275490.0,18.32660896428589
臺灣省,6956073.0,3529243.0,3426830.0,232727.0,120801.0,111926.0,3.34566644139589,346056.0,179588.0,166468.0,4.97487591058921,645859.0,335157.0,310702.0,9.28482205405262,695195.0,360920.0,334275.0,9.99407280515889,351986.0,184311.0,167675.0,5.06012515969858,5817823.0,2935766.0,2882057.0,83.63660070847445,1276510.0,589934.0,686576.0,18.35101500516168
宜蘭縣,449062.0,225711.0,223351.0,14616.0,7514.0,7102.0,3.2547844172965,21924.0,11274.0,10650.0,4.88217662594475,40631.0,21050.0,19581.0,9.04797110421278,43824.0,22666.0,21158.0,9.75900877829787,22060.0,11401.0,10659.0,4.91246197629726,377599.0,188687.0,188912.0,84.08616182175291,83527.0,38574.0,44953.0,18.60032690363469
新竹縣,580503.0,295891.0,284612.0,26300.0,13654.0,12646.0,4.53055367500254,39600.0,20561.0,19039.0,6.82167017224717,73801.0,38180.0,35621.0,12.71328485813165,79026.0,40911.0,38115.0,13.61336633919205,35680.0,18716.0,16964.0,6.14639373095402,458531.0,232472.0,226059.0,78.98856681188555,79168.0,37641.0,41527.0,13.63782788374909
