Unnamed: 0,計,男,女,計.1,男.1,女.1,％,計.2,男.2,女.2,％.1,計.3,男.3,女.3,％.2,計.4,男.4,女.4,％.3,計.5,男.5,女.5,％.4,計.6,男.6,女.6,％.5,計.7,男.7,女.7,％.6
總    計,23571227.0,11719580.0,11851647.0,1022399.0,529720.0,492679.0,4.34,1461143.0,756980.0,704163.0,6.2,2437779.0,1266723.0,1171056.0,10.34,2646042.0,1375260.0,1270782.0,11.23,1462883.0,764012.0,698871.0,6.21,19121282.0,9402755.0,9718527.0,81.12,3268013.0,1501711.0,1766302.0,13.86
新北市,3986689.0,1953397.0,2033292.0,160894.0,83113.0,77781.0,4.04,233150.0,120441.0,112709.0,5.85,394080.0,204444.0,189636.0,9.88,426756.0,221302.0,205454.0,10.7,235826.0,122976.0,112850.0,5.92,3266454.0,1579087.0,1687367.0,81.93,502397.0,230000.0,272397.0,12.6
臺北市,2683257.0,1281917.0,1401340.0,142334.0,73288.0,69046.0,5.3,195969.0,101002.0,94967.0,7.3,302798.0,156505.0,146293.0,11.28,324718.0,168148.0,156570.0,12.1,145162.0,75954.0,69208.0,5.41,2183022.0,1022277.0,1160745.0,81.36,439176.0,196968.0,242208.0,16.37
桃園市,2188017.0,1089619.0,1098398.0,113184.0,58886.0,54298.0,5.17,159686.0,82801.0,76885.0,7.3,263121.0,136947.0,126174.0,12.03,285009.0,148429.0,136580.0,13.03,152372.0,79740.0,72632.0,6.96,1717379.0,844109.0,873270.0,78.49,236004.0,110072.0,125932.0,10.79
臺中市,2787070.0,1374085.0,1412985.0,137091.0,71288.0,65803.0,4.92,196452.0,101991.0,94461.0,7.05,323533.0,168217.0,155316.0,11.61,350324.0,182106.0,168218.0,12.57,187698.0,97301.0,90397.0,6.73,2205589.0,1072005.0,1133584.0,79.14,320581.0,147739.0,172842.0,11.5
臺南市,1886522.0,942278.0,944244.0,76182.0,39399.0,36783.0,4.04,110056.0,57015.0,53041.0,5.83,184205.0,95628.0,88577.0,9.76,200147.0,103949.0,96198.0,10.61,110961.0,57837.0,53124.0,5.88,1549693.0,766968.0,782725.0,82.15,271315.0,124500.0,146815.0,14.38
高雄市,2776912.0,1375515.0,1401397.0,108695.0,56355.0,52340.0,3.91,156394.0,81135.0,75259.0,5.63,263685.0,136783.0,126902.0,9.5,287249.0,149033.0,138216.0,10.34,166004.0,86410.0,79594.0,5.98,2284551.0,1119967.0,1164584.0,82.27,394861.0,181691.0,213170.0,14.22
臺灣省,7112424.0,3626698.0,3485726.0,277621.0,144035.0,133586.0,3.9,401055.0,208199.0,192856.0,5.64,693895.0,361662.0,332233.0,9.76,758517.0,395307.0,363210.0,10.66,458596.0,240522.0,218074.0,6.45,5786802.0,2933997.0,2852805.0,81.36,1085487.0,501947.0,583540.0,15.26
宜蘭縣,456607.0,230976.0,225631.0,17190.0,8987.0,8203.0,3.76,24749.0,12964.0,11785.0,5.42,42861.0,22312.0,20549.0,9.39,46885.0,24404.0,22481.0,10.27,28487.0,14844.0,13643.0,6.24,374217.0,188075.0,186142.0,81.96,70025.0,32485.0,37540.0,15.34
新竹縣,552169.0,282073.0,270096.0,29076.0,15059.0,14017.0,5.27,42992.0,22210.0,20782.0,7.79,73052.0,37963.0,35089.0,13.23,79010.0,41133.0,37877.0,14.31,39409.0,20734.0,18675.0,7.14,426073.0,216249.0,209824.0,77.16,66180.0,31695.0,34485.0,11.99
