Unnamed: 0,計,男,女,計.1,男.1,女.1,％,計.2,男.2,女.2,％.1,計.3,男.3,女.3,％.2,計.4,男.4,女.4,％.3,計.5,男.5,女.5,％.4,計.6,男.6,女.6,％.5,計.7,男.7,女.7,％.6
總    計,23539816.0,11719270.0,11820546.0,1063063.0,550649.0,512414.0,4.52,1433572.0,743238.0,690334.0,6.09,2449649.0,1273530.0,1176119.0,10.41,2668232.0,1388217.0,1280015.0,11.33,1537553.0,803285.0,734268.0,6.53,18963159.0,9335884.0,9627275.0,80.56,3106105.0,1432398.0,1673707.0,13.2
新北市,3979208.0,1952341.0,2026867.0,169844.0,87861.0,81983.0,4.27,230862.0,119604.0,111258.0,5.8,397308.0,206335.0,190973.0,9.98,432096.0,224627.0,207469.0,10.86,248039.0,129450.0,118589.0,6.23,3237181.0,1566390.0,1670791.0,81.35,465909.0,214628.0,251281.0,11.71
臺北市,2695704.0,1289510.0,1406194.0,149615.0,77149.0,72466.0,5.55,195696.0,100997.0,94699.0,7.26,304475.0,157721.0,146754.0,11.29,327156.0,169711.0,157445.0,12.14,153434.0,80046.0,73388.0,5.69,2181541.0,1022635.0,1158906.0,80.93,419130.0,188871.0,230259.0,15.55
桃園市,2147763.0,1071564.0,1076199.0,111245.0,57723.0,53522.0,5.18,149791.0,77615.0,72176.0,6.97,257190.0,133931.0,123259.0,11.97,280029.0,145937.0,134092.0,13.04,158596.0,82947.0,75649.0,7.38,1673545.0,824320.0,849225.0,77.92,219425.0,103342.0,116083.0,10.22
臺中市,2767239.0,1366312.0,1400927.0,139981.0,72535.0,67446.0,5.06,189229.0,98160.0,91069.0,6.84,320555.0,166452.0,154103.0,11.58,348785.0,181076.0,167709.0,12.6,197673.0,102640.0,95033.0,7.14,2173998.0,1058076.0,1115922.0,78.56,301904.0,139659.0,162245.0,10.91
臺南市,1886033.0,943082.0,942951.0,79522.0,41191.0,38331.0,4.22,107190.0,55740.0,51450.0,5.68,184572.0,95958.0,88614.0,9.79,200953.0,104456.0,96497.0,10.65,116706.0,60852.0,55854.0,6.19,1539567.0,762524.0,777043.0,81.63,259701.0,119019.0,140682.0,13.77
高雄市,2779371.0,1379043.0,1400328.0,113696.0,58845.0,54851.0,4.09,153574.0,79495.0,74079.0,5.53,266469.0,138167.0,128302.0,9.59,290467.0,150749.0,139718.0,10.45,174611.0,90814.0,83797.0,6.28,2270890.0,1115275.0,1155615.0,81.71,373604.0,173079.0,200525.0,13.44
臺灣省,7136789.0,3642668.0,3494121.0,292403.0,151825.0,140578.0,4.1,398773.0,207207.0,191566.0,5.59,706463.0,368367.0,338096.0,9.9,775325.0,404648.0,370677.0,10.86,482067.0,253187.0,228880.0,6.75,5761950.0,2923945.0,2838005.0,80.74,1049376.0,485567.0,563809.0,14.7
宜蘭縣,457538.0,231722.0,225816.0,17683.0,9274.0,8409.0,3.86,24374.0,12711.0,11663.0,5.33,43280.0,22508.0,20772.0,9.46,47597.0,24759.0,22838.0,10.4,30025.0,15705.0,14320.0,6.56,371987.0,187163.0,184824.0,81.3,67808.0,31604.0,36204.0,14.82
新竹縣,547481.0,280030.0,267451.0,30475.0,15729.0,14746.0,5.57,42065.0,21786.0,20279.0,7.68,72848.0,37959.0,34889.0,13.31,78938.0,41151.0,37787.0,14.42,40379.0,21217.0,19162.0,7.38,419778.0,213267.0,206511.0,76.67,64040.0,30775.0,33265.0,11.7
苗栗縣,559189.0,288469.0,270720.0,25943.0,13391.0,12552.0,4.64,34534.0,17880.0,16654.0,6.18,59062.0,30770.0,28292.0,10.56,64511.0,33685.0,30826.0,11.54,37347.0,19837.0,17510.0,6.68,448923.0,230564.0,218359.0,80.28,82771.0,39345.0,43426.0,14.8
