Unnamed: 0,計,男,女,計.1,男.1,女.1,％,計.2,男.2,女.2,％.1,計.3,男.3,女.3,％.2,計.4,男.4,女.4,％.3,計.5,男.5,女.5,％.4,計.6,男.6,女.6,％.5,計.7,男.7,女.7,％.6
總    計,23375314.0,11578696.0,11796618.0,865740.0,448275.0,417465.0,3.7036507830440266,1287990.0,667449.0,620541.0,5.510043629788246,2295929.0,1190085.0,1105844.0,9.82202420895822,2489084.0,1290641.0,1198443.0,10.648344659669599,1221771.0,638418.0,583353.0,5.226757595641282,19387672.0,9504379.0,9883293.0,82.94079814286131,3939033.0,1792259.0,2146774.0,16.8512517093888
新北市,4008113.0,1957337.0,2050776.0,139727.0,72096.0,67631.0,3.486104308935402,208957.0,108021.0,100936.0,5.213351020792079,376204.0,194443.0,181761.0,9.386062718291626,407330.0,210627.0,196703.0,10.162637630226493,199280.0,104120.0,95160.0,4.971915711957223,3355811.0,1618477.0,1737334.0,83.72545883811159,649938.0,292000.0,357938.0,16.215560788830054
臺北市,2524393.0,1201966.0,1322427.0,98465.0,50754.0,47711.0,3.900541635157442,147465.0,76233.0,71232.0,5.841602317864137,262184.0,135667.0,126517.0,10.386021510913713,283879.0,146916.0,136963.0,11.24543603155293,124734.0,65085.0,59649.0,4.941148228504833,2095161.0,979228.0,1115933.0,82.99662532735593,504106.0,223460.0,280646.0,19.969394622786545
桃園市,2272391.0,1125130.0,1147261.0,104284.0,54057.0,50227.0,4.589175014335121,151678.0,78575.0,73103.0,6.67481960630895,261901.0,135810.0,126091.0,11.52534929068105,282603.0,146636.0,135967.0,12.436372085613788,131336.0,68887.0,62449.0,5.779639155409434,1829577.0,894483.0,935094.0,80.51330074797866,309040.0,140738.0,168302.0,13.599772222298013
臺中市,2813490.0,1381117.0,1432373.0,114741.0,59471.0,55270.0,4.0782444579508015,173168.0,89938.0,83230.0,6.154917913338949,308378.0,160025.0,148353.0,10.9606929471937,333739.0,173313.0,160426.0,11.86210009632165,159456.0,82895.0,76561.0,5.667551688472324,2285971.0,1107165.0,1178806.0,81.25036875908569,404949.0,184032.0,220917.0,14.393120288325175
臺南市,1862059.0,927158.0,934901.0,62044.0,32197.0,29847.0,3.332010425018756,94717.0,49210.0,45507.0,5.086680926866442,172178.0,89373.0,82805.0,9.246645782974653,187229.0,97129.0,90100.0,10.054944553314368,93556.0,48609.0,44947.0,5.024330593176693,1561280.0,770822.0,790458.0,83.8469672550655,322206.0,147963.0,174243.0,17.303748162652205
高雄市,2744691.0,1352711.0,1391980.0,96131.0,49797.0,46334.0,3.5024343359598586,141805.0,73537.0,68268.0,5.166519655582358,250777.0,130015.0,120762.0,9.136802649187103,271975.0,140947.0,131028.0,9.90913002593006,136149.0,70954.0,65195.0,4.960449099734724,2304774.0,1124174.0,1180600.0,83.97207554511601,481439.0,217360.0,264079.0,17.540735915263323
臺灣省,6994993.0,3554841.0,3440152.0,245175.0,127228.0,117947.0,3.5050070814938628,363178.0,188288.0,174890.0,5.1919708854605,653016.0,338858.0,314158.0,9.335477533715903,710235.0,368771.0,341464.0,10.153476922707428,371842.0,195031.0,176811.0,5.315830909337579,5820127.0,2942175.0,2877952.0,83.204186194325,1243726.0,575234.0,668492.0,17.780232231826393
宜蘭縣,450692.0,226986.0,223706.0,15356.0,7910.0,7446.0,3.407204920433467,22845.0,11775.0,11070.0,5.068871868149424,40986.0,21222.0,19764.0,9.094015425168408,44682.0,23151.0,21531.0,9.914087669628039,23213.0,12070.0,11143.0,5.150524082965751,377243.0,188888.0,188355.0,83.70306107053153,81088.0,37482.0,43606.0,17.991888029962812
新竹縣,575580.0,293751.0,281829.0,27021.0,13989.0,13032.0,4.694568956530803,40718.0,21129.0,19589.0,7.074255533548768,73284.0,37859.0,35425.0,12.732200562910457,79410.0,41091.0,38319.0,13.796518294589804,36611.0,19224.0,17387.0,6.360714409812711,452743.0,229866.0,222877.0,78.6585704854234,76664.0,36528.0,40136.0,13.31943430973974
