Unnamed: 0,計,男,女,計.1,男.1,女.1,％,計.2,男.2,女.2,％.1,計.3,男.3,女.3,％.2,計.4,男.4,女.4,％.3,計.5,男.5,女.5,％.4,計.6,男.6,女.6,％.5,計.7,男.7,女.7,％.6
總    計,23588932.0,11712913.0,11876019.0,1008979.0,522390.0,486589.0,4.28,1444449.0,747862.0,696587.0,6.12,2414712.0,1253538.0,1161174.0,10.24,2621537.0,1361642.0,1259895.0,11.11,1363808.0,712435.0,651373.0,5.78,19222440.0,9440231.0,9782209.0,81.49,3433517.0,1572719.0,1860798.0,14.56
新北市,3995717.0,1954968.0,2040749.0,156515.0,80795.0,75720.0,3.92,228277.0,117906.0,110371.0,5.71,388477.0,201343.0,187134.0,9.72,421803.0,218741.0,203062.0,10.56,220089.0,114913.0,105176.0,5.51,3290355.0,1588361.0,1701994.0,82.35,539705.0,245705.0,294000.0,13.51
臺北市,2668572.0,1273375.0,1395197.0,137028.0,70586.0,66442.0,5.13,189488.0,97668.0,91820.0,7.1,297915.0,154032.0,143883.0,11.16,320138.0,165554.0,154584.0,12.0,135876.0,70997.0,64879.0,5.09,2179432.0,1019592.0,1159840.0,81.67,458635.0,204804.0,253831.0,17.19
桃園市,2220872.0,1104073.0,1116799.0,117041.0,60801.0,56240.0,5.27,163899.0,85110.0,78789.0,7.38,267725.0,139221.0,128504.0,12.05,289417.0,150652.0,138765.0,13.03,143120.0,75041.0,68079.0,6.44,1750170.0,858506.0,891664.0,78.81,253213.0,117162.0,136051.0,11.4
臺中市,2803894.0,1380106.0,1423788.0,137029.0,71102.0,65927.0,4.89,196348.0,101772.0,94576.0,7.0,323765.0,167972.0,155793.0,11.55,350407.0,181967.0,168440.0,12.5,175369.0,91116.0,84253.0,6.25,2229338.0,1081854.0,1147484.0,79.51,340852.0,156502.0,184350.0,12.16
臺南市,1883831.0,939967.0,943864.0,74942.0,38811.0,36131.0,3.98,108884.0,56291.0,52593.0,5.78,182519.0,94653.0,87866.0,9.69,198228.0,102857.0,95371.0,10.52,102913.0,53619.0,49294.0,5.46,1553541.0,768295.0,785246.0,82.47,283254.0,130014.0,153240.0,15.04
高雄市,2773533.0,1371957.0,1401576.0,107974.0,56139.0,51835.0,3.89,155585.0,80694.0,74891.0,5.61,261380.0,135715.0,125665.0,9.42,284330.0,147604.0,136726.0,10.25,153256.0,79719.0,73537.0,5.53,2291053.0,1121286.0,1169767.0,82.6,416436.0,190602.0,225834.0,15.01
臺灣省,7090184.0,3611525.0,3478659.0,272439.0,141028.0,131411.0,3.84,394023.0,204271.0,189752.0,5.56,680880.0,354284.0,326596.0,9.6,744358.0,387528.0,356830.0,10.5,427322.0,223970.0,203352.0,6.03,5798302.0,2936892.0,2861410.0,81.78,1122150.0,518590.0,603560.0,15.83
宜蘭縣,455221.0,230027.0,225194.0,16780.0,8709.0,8071.0,3.69,24385.0,12726.0,11659.0,5.36,42183.0,21936.0,20247.0,9.27,46071.0,23933.0,22138.0,10.12,26403.0,13704.0,12699.0,5.8,375145.0,188332.0,186813.0,82.41,72644.0,33650.0,38994.0,15.96
新竹縣,557010.0,284385.0,272625.0,28544.0,14857.0,13687.0,5.12,42351.0,21871.0,20480.0,7.6,72710.0,37752.0,34958.0,13.05,78703.0,40880.0,37823.0,14.13,37796.0,19881.0,17915.0,6.79,431723.0,219005.0,212718.0,77.51,68516.0,32721.0,35795.0,12.3
苗栗縣,548863.0,283174.0,265689.0,20577.0,10518.0,10059.0,3.75,30522.0,15660.0,14862.0,5.56,53537.0,27682.0,25855.0,9.75,58495.0,30269.0,28226.0,10.66,33343.0,17781.0,15562.0,6.07,448042.0,230438.0,217604.0,81.63,87689.0,41621.0,46068.0,15.98
彰化縣,1277824.0,650677.0,627147.0,55933.0,28982.0,26951.0,4.38,77979.0,40510.0,37469.0,6.1,130038.0,67720.0,62318.0,10.18,141677.0,73932.0,67745.0,11.09,79432.0,41779.0,37653.0,6.22,1034408.0,523312.0,511096.0,80.95,196103.0,90361.0,105742.0,15.35
南投縣,497031.0,254549.0,242482.0,15621.0,8149.0,7472.0,3.14,22728.0,11870.0,10858.0,4.57,40791.0,21241.0,19550.0,8.21,44932.0,23408.0,21524.0,9.04,29067.0,15141.0,13926.0,5.85,414545.0,211590.0,202955.0,83.4,85365.0,40003.0,45362.0,17.17
雲林縣,686022.0,355578.0,330444.0,22993.0,11798.0,11195.0,3.35,33433.0,17230.0,16203.0,4.87,59509.0,30965.0,28544.0,8.67,65591.0,34143.0,31448.0,9.56,41730.0,21837.0,19893.0,6.08,566804.0,293285.0,273519.0,82.62,123577.0,56421.0,67156.0,18.01
嘉義縣,507068.0,263451.0,243617.0,13811.0,7119.0,6692.0,2.72,19982.0,10351.0,9631.0,3.94,35674.0,18571.0,17103.0,7.04,39335.0,20513.0,18822.0,7.76,28069.0,14747.0,13322.0,5.54,430441.0,223320.0,207121.0,84.89,96666.0,44414.0,52252.0,19.06
屏東縣,825406.0,421534.0,403872.0,26360.0,13728.0,12632.0,3.19,38257.0,19943.0,18314.0,4.63,66974.0,34919.0,32055.0,8.11,73735.0,38484.0,35251.0,8.93,46155.0,24000.0,22155.0,5.59,691611.0,351713.0,339898.0,83.79,136270.0,64059.0,72211.0,16.51
